heartRate,oxygen,activity,label
95.9,98.4,51.1,0
97.6,98.9,50.8,0
100.7,98.6,41.6,0
100.2,98.6,54.6,0
98.8,98.7,50.7,0
101.9,99.8,49.3,0
98.3,99.3,44.8,0
98.7,98.7,50.6,0
96.4,98.0,38.6,0
95.8,98.5,47.5,0
101.9,99.3,44.2,0
98.7,98.6,47.6,0
98.4,99.1,47.3,0
100.2,98.2,49.1,0
103.2,98.9,56.2,0
98.2,99.1,48.7,0
97.7,98.4,51.2,0
96.3,99.1,54.5,0
98.8,98.6,51.3,0
97.4,99.3,39.9,0
97.4,97.8,41.6,0
100.8,99.2,45.4,0
95.0,97.3,46.3,0
102.9,99.0,46.3,0
99.0,98.0,47.6,0
98.2,98.8,53.0,0
98.7,99.1,45.6,0
99.8,99.6,44.2,0
96.3,99.5,48.1,0
100.9,98.6,56.3,0
98.3,99.0,56.9,0
97.3,98.4,46.8,0
99.0,98.1,52.3,0
97.0,99.4,37.1,0
96.5,98.0,45.0,0
98.6,98.8,47.8,0
97.7,99.0,44.0,0
99.5,99.2,51.0,0
99.2,99.0,59.3,0
97.9,98.7,45.3,0
96.0,98.2,44.7,0
97.9,99.0,49.4,0
96.5,99.3,52.8,0
97.8,98.5,51.9,0
98.5,98.2,48.8,0
98.6,98.4,50.1,0
95.2,99.6,55.4,0
97.6,99.1,37.1,0
95.8,98.7,43.8,0
99.5,99.9,43.2,0
96.4,99.0,57.2,0
95.6,99.0,58.2,0
94.8,98.3,47.0,0
97.0,99.3,50.3,0
94.5,99.2,46.3,0
100.6,98.6,46.0,0
99.2,99.3,51.4,0
94.7,99.2,44.0,0
98.6,98.2,51.4,0
94.7,97.8,65.0,0
95.5,97.4,66.0,0
97.3,97.2,56.0,0
97.8,99.0,66.0,0
90.7,97.5,66.6,0
94.2,97.1,71.0,0
95.6,97.0,71.6,0
98.6,97.8,66.4,0
94.2,98.0,59.5,0
94.9,97.5,77.4,0
94.2,98.5,62.6,0
95.7,97.9,63.8,0
94.8,98.3,66.5,0
91.1,97.7,63.6,0
93.8,97.7,59.6,0
91.2,98.0,65.5,0
89.3,98.1,69.5,0
93.0,97.1,72.4,0
95.1,98.9,70.3,0
95.2,97.6,72.3,0
95.7,98.3,65.6,0
93.5,97.5,72.2,0
97.4,97.5,66.1,0
95.0,97.6,73.0,0
89.9,97.3,64.3,0
89.7,97.2,63.7,0
93.9,98.3,67.0,0
92.3,97.7,73.5,0
92.4,97.3,71.0,0
93.9,98.1,68.2,0
95.7,97.2,68.2,0
93.9,97.1,60.5,0
95.6,97.6,63.2,0
94.1,98.3,56.9,0
91.3,97.3,75.6,0
94.8,98.1,62.6,0
92.0,98.0,68.6,0
95.3,97.6,69.7,0
94.5,98.1,72.4,0
91.0,96.6,73.3,0
96.6,97.2,59.0,0
94.4,98.2,77.3,0
95.2,97.6,63.9,0
94.2,97.6,63.3,0
98.2,98.6,74.0,0
92.3,98.2,71.6,0
95.0,98.4,71.6,0
95.6,98.1,70.1,0
90.5,97.8,65.6,0
91.5,98.6,77.0,0
96.8,97.9,75.2,0
94.1,97.9,63.0,0
94.9,97.8,61.9,0
94.0,97.7,77.4,0
95.8,97.8,69.7,0
94.1,97.7,63.0,0
93.7,97.4,62.2,0
95.0,98.0,59.5,0
93.8,98.3,73.8,0
96.0,97.8,64.2,0
91.8,97.9,70.4,0
96.5,98.3,67.8,0
91.5,97.6,69.6,0
93.5,97.5,69.8,0
92.9,97.5,70.1,0
93.1,97.9,69.9,0
91.6,97.5,75.7,0
91.6,96.7,59.2,0
94.0,97.8,68.0,0
96.3,96.4,70.5,0
97.0,97.2,66.7,0
92.4,97.3,66.9,0
96.7,98.7,66.9,0
97.7,97.8,77.3,0
93.6,97.9,70.4,0
100.2,98.2,65.1,0
95.7,97.6,66.1,0
95.6,97.8,70.0,0
93.8,98.0,70.7,0
89.9,98.1,63.7,0
90.9,97.8,69.0,0
92.4,98.2,61.9,0
92.9,97.5,68.4,0
94.3,97.3,72.3,0
93.9,96.9,58.9,0
93.7,97.7,68.1,0
93.6,97.9,73.4,0
91.5,97.2,63.2,0
94.3,98.4,66.5,0
88.7,97.0,64.5,0
92.5,97.6,68.9,0
93.0,98.3,65.3,0
91.9,98.0,61.0,0
94.4,97.9,68.0,0
96.8,97.5,79.0,0
93.2,97.2,69.1,0
91.4,97.4,70.7,0
94.7,97.5,73.7,0
95.9,98.5,71.4,0
96.3,96.9,67.2,0
97.1,98.5,66.7,0
98.5,99.0,74.9,0
98.2,98.7,60.9,0
97.4,98.9,71.0,0
98.0,98.9,69.1,0
100.0,98.6,64.9,0
98.3,97.0,68.6,0
90.3,97.6,68.9,0
98.6,97.9,63.1,0
100.3,98.2,77.9,0
97.6,98.6,74.7,0
97.9,97.9,66.1,0
97.5,97.8,65.4,0
96.1,98.9,66.8,0
97.0,98.4,67.8,0
98.8,97.9,61.4,0
99.8,98.2,59.6,0
98.5,98.7,59.0,0
98.1,98.8,68.5,0
98.9,97.7,68.3,0
97.0,98.2,71.0,0
100.6,99.3,73.2,0
97.4,98.6,70.5,0
97.8,98.5,70.8,0
97.5,98.1,64.6,0
98.9,98.4,68.4,0
98.9,98.3,70.4,0
98.3,97.8,73.9,0
96.6,97.6,61.4,0
95.5,98.5,65.3,0
96.9,98.8,68.4,0
98.2,98.7,69.7,0
93.4,98.3,55.8,0
97.7,98.4,71.9,0
100.0,98.6,64.2,0
98.6,98.2,66.7,0
99.6,98.2,70.7,0
98.9,98.0,71.5,0
99.0,98.5,62.9,0
95.9,98.2,69.4,0
95.7,98.7,60.5,0
97.2,98.5,78.9,0
94.8,99.2,67.4,0
98.4,98.5,68.9,0
97.3,99.2,64.4,0
99.8,98.1,66.4,0
95.4,98.7,73.9,0
97.4,98.4,61.1,0
97.1,97.7,62.1,0
98.0,99.1,80.7,0
96.4,99.2,67.9,0
97.3,98.7,67.0,0
97.8,98.3,59.7,0
94.5,98.8,65.3,0
96.4,98.5,70.7,0
97.9,98.1,72.8,0
100.7,98.7,71.6,0
100.1,99.0,69.8,0
98.8,98.7,61.2,0
99.0,97.8,62.7,0
100.2,98.9,74.1,0
97.0,97.9,65.5,0
97.8,98.5,72.4,0
96.9,98.6,61.7,0
98.5,98.5,62.9,0
97.1,98.4,65.3,0
101.1,98.4,65.5,0
93.4,98.0,65.4,0
96.2,99.2,65.9,0
100.2,98.5,66.9,0
97.4,98.5,75.3,0
92.9,97.5,64.0,0
97.6,98.8,69.1,0
96.8,99.0,71.8,0
97.9,98.9,68.1,0
96.4,98.8,67.2,0
97.6,99.2,54.4,0
94.7,97.9,64.9,0
97.1,97.7,61.8,0
95.8,99.7,75.7,0
96.7,98.3,61.0,0
93.8,98.4,61.7,0
97.4,97.7,62.9,0
97.9,98.6,68.8,0
94.9,98.9,62.7,0
98.8,98.5,59.8,0
96.9,98.6,69.8,0
97.3,99.2,71.7,0
97.1,98.8,76.4,0
101.5,97.9,62.1,0
100.5,97.9,60.1,0
96.6,98.7,66.2,0
96.3,98.1,63.1,0
95.8,99.6,68.2,0
99.3,98.2,65.8,0
96.1,97.1,59.8,0
93.9,97.3,60.7,0
100.2,98.4,73.2,0
98.4,98.9,62.2,0
98.6,98.8,63.8,0
83.2,98.2,26.3,1
83.2,98.3,33.3,1
86.2,98.6,25.2,1
86.5,97.7,35.4,1
83.3,97.8,21.1,1
82.9,97.2,35.0,1
86.3,97.6,31.7,1
81.8,97.6,34.0,1
83.2,98.8,27.7,1
85.3,98.0,34.1,1
82.5,97.9,29.5,1
81.7,98.2,33.3,1
84.6,98.6,37.3,1
82.7,98.1,27.0,1
83.5,97.6,38.2,1
84.3,97.7,36.0,1
79.2,96.8,34.0,1
83.7,97.9,23.4,1
83.6,98.8,34.1,1
84.0,97.6,28.0,1
79.4,97.9,34.2,1
80.6,97.4,24.2,1
81.8,97.8,19.6,1
85.0,98.1,28.7,1
78.8,97.2,36.1,1
78.3,97.5,24.0,1
85.5,97.4,31.9,1
85.0,98.6,28.9,1
84.7,96.9,35.9,1
82.4,97.4,29.8,1
80.8,97.8,34.7,1
84.6,96.8,29.3,1
85.5,96.7,24.5,1
85.8,97.8,31.9,1
87.8,97.8,33.1,1
89.5,97.5,25.8,1
85.0,97.8,27.2,1
82.1,98.7,31.4,1
82.7,98.0,29.3,1
83.7,97.8,23.3,1
85.0,98.5,32.1,1
83.5,97.3,27.7,1
83.8,97.3,34.3,1
80.9,97.9,27.8,1
85.1,96.9,36.4,1
86.9,97.9,22.1,1
86.1,97.7,21.7,1
84.4,97.6,32.5,1
84.9,97.6,37.1,1
87.0,96.0,28.1,1
84.2,96.5,30.1,1
87.1,96.8,31.3,1
82.8,97.0,37.0,1
83.6,97.6,20.3,1
88.4,97.7,28.7,1
85.9,96.6,35.5,1
84.1,97.2,27.1,1
83.6,97.7,30.9,1
86.1,97.3,32.1,1
84.0,98.4,21.7,1
87.4,98.0,25.3,1
89.4,97.8,34.4,1
85.0,97.1,28.5,1
85.7,97.9,30.4,1
83.2,97.6,34.1,1
86.3,97.6,28.1,1
83.2,96.8,21.3,1
85.6,97.1,27.3,1
79.2,96.6,35.1,1
83.8,97.3,22.5,1
88.0,97.1,30.9,1
89.9,97.9,27.9,1
84.0,97.0,32.0,1
85.1,96.9,36.7,1
85.1,98.2,29.8,1
88.9,97.3,34.2,1
83.9,96.6,31.7,1
87.4,97.1,22.9,1
82.7,96.3,20.5,1
85.7,97.6,29.3,1
80.9,96.9,28.5,1
89.7,96.3,27.4,1
88.9,97.2,32.1,1
85.8,97.2,33.2,1
84.0,97.4,22.4,1
86.3,97.0,26.2,1
85.6,96.6,23.9,1
85.0,96.4,30.9,1
83.4,97.3,23.3,1
84.6,96.6,35.9,1
86.4,96.8,31.7,1
81.6,96.9,39.2,1
86.1,96.9,31.9,1
87.7,95.9,20.8,1
86.3,96.5,35.7,1
85.3,95.9,22.8,1
80.4,96.7,28.2,1
85.1,97.3,35.1,1
85.7,95.7,32.2,1
87.1,96.9,34.0,1
92.9,95.0,34.7,1
93.3,95.2,32.3,1
90.0,94.1,36.2,1
94.4,93.7,29.8,1
92.5,94.3,26.6,1
92.4,94.2,37.3,1
95.3,94.4,31.5,1
94.1,94.1,27.7,1
91.9,94.2,27.6,1
94.2,94.9,25.4,1
94.0,94.4,35.1,1
93.9,93.8,27.0,1
94.1,95.0,22.3,1
94.7,95.1,32.5,1
95.2,94.1,32.7,1
90.9,93.3,38.0,1
92.2,94.2,26.3,1
91.4,94.4,29.6,1
95.0,94.7,34.8,1
94.8,95.2,27.9,1
94.2,95.0,39.5,1
91.5,94.3,40.0,1
95.4,94.5,32.1,1
93.7,94.6,31.9,1
94.4,94.5,29.8,1
95.6,95.9,24.2,1
95.3,94.0,36.0,1
94.7,94.8,39.0,1
95.1,95.0,21.4,1
97.9,94.6,38.5,1
92.3,94.0,33.8,1
94.8,94.5,38.5,1
91.3,94.9,33.1,1
94.5,93.6,35.5,1
90.1,94.7,25.5,1
95.1,94.3,38.8,1
94.7,94.0,30.4,1
97.6,94.6,31.0,1
94.7,93.6,34.9,1
91.7,94.7,33.6,1
100.0,93.8,32.4,1
98.9,94.9,29.4,1
95.8,94.3,34.3,1
94.0,94.3,24.9,1
95.7,94.5,31.7,1
92.2,94.8,34.7,1
94.0,94.2,25.3,1
93.5,94.0,38.9,1
94.3,94.6,30.1,1
96.1,94.2,37.1,1
94.6,93.5,25.8,1
94.6,93.7,34.8,1
94.8,95.5,24.0,1
96.2,93.7,30.2,1
96.1,93.1,33.9,1
99.7,94.0,34.0,1
98.0,94.2,29.8,1
91.4,94.6,32.1,1
94.0,94.3,29.7,1
95.0,94.5,25.9,1
98.2,93.5,29.3,1
100.0,94.8,33.1,1
94.3,94.0,32.9,1
96.3,94.2,32.4,1
95.8,93.5,30.0,1
98.1,93.5,31.6,1
94.7,94.3,30.6,1
99.4,94.5,25.9,1
97.8,93.8,29.6,1
97.1,93.9,36.9,1
95.0,93.9,29.2,1
95.5,94.7,35.6,1
100.0,95.3,27.3,1
96.8,93.6,28.5,1
95.5,93.6,27.1,1
96.5,93.6,36.6,1
95.0,95.6,30.1,1
97.0,93.5,40.9,1
99.1,94.3,25.6,1
97.4,93.6,39.6,1
98.6,94.2,20.1,1
95.1,94.5,38.4,1
99.3,93.3,33.8,1
99.1,93.3,32.2,1
97.7,94.0,23.0,1
96.5,93.9,31.5,1
96.1,93.9,32.0,1
98.2,93.9,30.2,1
97.5,93.1,34.6,1
97.4,94.1,37.0,1
93.5,93.1,33.5,1
97.4,94.2,29.8,1
98.8,94.5,34.5,1
97.0,93.0,36.0,1
100.0,94.4,27.7,1
99.0,94.5,39.9,1
95.9,93.9,35.8,1
97.8,93.5,34.1,1
98.9,94.1,33.1,1
97.3,94.8,27.5,1
71.0,94.4,34.6,1
72.0,94.7,29.8,1
74.6,94.8,27.8,1
73.0,95.1,33.2,1
70.5,94.9,25.8,1
76.2,95.1,32.7,1
73.7,94.4,34.6,1
72.7,94.6,35.5,1
72.3,94.2,25.2,1
71.3,93.6,34.8,1
77.1,95.2,23.0,1
75.0,95.2,28.8,1
73.8,93.4,32.4,1
71.5,94.5,23.3,1
74.7,94.9,27.1,1
71.4,93.3,29.7,1
72.5,93.6,33.3,1
72.8,93.8,28.2,1
75.9,94.6,30.3,1
75.0,93.7,31.1,1
74.1,94.1,33.1,1
72.3,94.5,33.7,1
68.0,94.9,15.7,1
72.6,94.8,29.3,1
71.0,93.7,36.0,1
70.1,94.8,30.6,1
71.6,93.9,25.7,1
75.7,94.6,22.2,1
73.2,93.7,37.2,1
71.3,95.0,30.6,1
71.7,93.8,26.7,1
71.5,94.2,24.6,1
69.8,93.9,21.7,1
72.6,93.6,26.3,1
78.2,94.1,31.9,1
70.6,93.7,31.7,1
72.2,94.5,24.6,1
73.7,93.7,31.4,1
73.0,93.9,29.4,1
72.8,94.2,31.7,1
74.2,93.8,34.5,1
73.9,93.8,31.0,1
77.8,93.3,34.3,1
70.6,94.0,38.4,1
75.4,94.0,27.7,1
74.5,93.8,26.5,1
73.9,94.0,26.6,1
72.9,93.2,32.4,1
75.7,94.0,35.2,1
74.8,94.0,31.9,1
74.4,93.5,41.4,1
73.7,93.5,32.5,1
75.2,93.1,35.9,1
74.5,93.2,36.2,1
76.0,93.1,39.1,1
76.1,93.7,38.2,1
75.1,93.7,26.9,1
76.0,93.9,30.3,1
73.3,93.7,29.8,1
72.2,92.9,33.0,1
69.7,93.7,27.8,1
77.5,93.4,33.4,1
74.2,93.7,33.8,1
74.1,94.1,25.1,1
75.6,94.0,33.4,1
78.9,93.2,23.2,1
73.1,93.9,32.5,1
75.3,93.0,33.8,1
72.7,94.1,44.3,1
75.9,93.8,27.5,1
71.6,93.2,24.5,1
72.3,94.3,31.3,1
76.0,93.3,29.0,1
77.2,93.4,32.5,1
74.9,93.2,22.8,1
71.4,93.3,30.1,1
72.8,93.4,30.1,1
71.1,92.9,31.8,1
76.2,92.8,30.6,1
77.5,93.7,29.3,1
74.5,93.0,32.1,1
75.9,93.6,30.4,1
77.1,93.3,33.6,1
77.3,92.9,20.7,1
78.7,93.4,21.1,1
74.2,93.6,28.3,1
74.6,93.9,24.4,1
74.1,93.3,31.6,1
76.7,93.6,30.6,1
76.7,93.0,29.9,1
75.9,93.3,33.4,1
76.9,93.1,25.5,1
75.9,93.1,30.5,1
80.2,92.8,31.6,1
78.0,93.1,41.2,1
75.1,93.2,25.5,1
75.2,93.2,33.7,1
76.6,93.7,28.9,1
75.3,94.4,31.4,1
74.5,92.6,24.7,1
93.1,94.6,52.4,0
91.0,94.7,47.0,0
91.6,93.9,57.3,0
93.9,94.6,57.0,0
98.3,93.5,47.1,0
91.4,93.9,45.4,0
92.1,93.7,52.5,0
92.8,94.6,53.3,0
93.9,94.1,61.4,0
93.2,93.4,45.8,0
89.2,94.3,50.2,0
91.8,95.3,53.6,0
94.2,93.8,45.8,0
92.8,94.4,41.6,0
92.4,94.3,49.8,0
91.1,94.0,50.0,0
92.9,94.6,56.3,0
92.2,94.0,53.1,0
94.0,94.1,54.8,0
94.7,94.9,59.8,0
91.0,94.3,51.0,0
92.6,93.9,43.5,0
93.0,93.9,51.4,0
91.2,93.7,52.1,0
93.1,94.5,61.9,0
93.4,94.5,45.6,0
90.2,95.0,46.3,0
90.7,94.2,50.5,0
91.0,94.1,57.1,0
91.2,93.5,55.7,0
93.8,93.9,43.1,0
91.3,94.2,56.8,0
90.8,94.2,54.4,0
88.1,94.7,45.1,0
93.5,94.3,56.5,0
94.0,93.0,47.1,0
93.1,94.1,53.4,0
94.5,94.5,50.0,0
89.2,94.0,53.1,0
90.7,94.5,55.6,0
93.2,92.7,44.7,0
96.7,93.9,41.2,0
95.4,94.2,56.6,0
93.5,94.4,52.9,0
94.3,95.3,56.0,0
89.8,94.4,56.8,0
95.3,93.9,57.0,0
94.8,95.4,47.4,0
91.9,94.0,48.7,0
91.2,92.8,49.0,0
93.7,93.9,60.8,0
93.0,94.8,52.5,0
94.6,94.3,58.0,0
93.1,94.4,53.0,0
92.4,94.3,62.4,0
92.5,94.3,57.5,0
95.3,94.1,39.3,0
94.0,93.0,58.6,0
93.4,94.6,46.7,0
89.9,94.2,51.1,0
92.0,94.2,65.1,0
94.7,94.6,55.5,0
96.0,94.0,41.0,0
92.7,94.5,46.4,0
92.7,93.7,58.8,0
94.6,94.4,54.4,0
93.0,94.2,45.4,0
88.7,94.2,52.9,0
95.5,94.9,59.2,0
91.1,93.9,53.7,0
98.2,94.8,56.9,0
92.3,93.6,55.3,0
90.9,93.9,50.8,0
96.3,93.9,39.2,0
94.1,93.7,51.6,0
93.0,93.9,55.3,0
90.1,93.8,54.8,0
91.9,93.2,54.8,0
95.4,94.0,41.6,0
94.6,93.2,53.0,0
91.4,93.5,49.2,0
92.8,93.7,54.4,0
92.3,94.5,52.9,0
91.8,93.6,43.2,0
93.8,93.8,39.6,0
92.1,93.6,59.4,0
89.8,93.3,57.0,0
95.9,93.6,48.3,0
94.4,92.8,42.2,0
92.7,94.8,49.3,0
93.4,94.6,62.1,0
92.1,94.0,60.6,0
90.2,94.5,46.4,0
93.4,93.9,46.8,0
91.3,94.1,56.5,0
93.0,94.0,54.4,0
91.3,94.3,55.7,0
98.5,93.8,49.3,0
94.8,94.4,48.9,0
92.5,94.2,47.5,0
78.7,97.1,41.8,0
79.9,96.8,45.5,0
83.9,97.5,47.8,0
80.3,97.0,49.4,0
82.4,96.7,47.9,0
77.2,97.3,51.5,0
80.6,98.1,43.3,0
81.6,97.2,47.2,0
80.9,97.2,52.0,0
83.9,97.2,51.8,0
79.7,97.6,43.9,0
83.3,98.3,47.1,0
76.7,96.9,53.9,0
82.2,97.3,52.7,0
82.1,97.8,52.3,0
84.1,97.3,52.2,0
80.4,96.8,56.2,0
81.5,97.5,48.3,0
79.8,97.1,54.8,0
82.1,96.3,46.6,0
84.6,97.0,38.6,0
84.8,97.5,47.3,0
80.2,97.7,44.9,0
83.2,97.4,48.9,0
81.2,97.0,52.9,0
79.2,96.3,50.7,0
82.2,97.3,49.7,0
80.2,97.5,47.4,0
79.9,96.9,57.7,0
77.4,97.3,39.2,0
80.6,96.9,37.2,0
81.6,96.9,37.1,0
82.5,97.8,55.0,0
81.5,97.1,54.2,0
84.1,97.6,42.9,0
81.2,97.3,38.5,0
81.7,98.2,50.8,0
83.7,97.2,47.2,0
81.5,96.7,42.7,0
83.2,97.7,42.6,0
82.6,97.0,49.2,0
81.6,97.5,48.0,0
83.5,97.2,50.7,0
79.0,98.1,49.9,0
82.1,96.2,43.4,0
83.1,97.2,37.9,0
82.7,96.8,54.6,0
80.4,97.1,53.4,0
78.8,96.5,46.5,0
82.2,96.3,39.2,0
82.2,96.7,45.5,0
76.8,96.7,47.4,0
82.4,96.6,55.8,0
79.1,96.7,55.2,0
80.9,96.7,46.7,0
83.2,97.7,43.4,0
80.4,97.0,42.5,0
80.3,97.0,53.2,0
82.8,96.8,46.4,0
81.7,96.7,50.4,0
80.2,96.5,42.7,0
83.3,96.9,55.6,0
79.3,97.1,59.4,0
78.2,96.0,53.9,0
78.7,96.9,44.5,0
80.8,96.5,46.5,0
81.2,96.4,43.9,0
79.6,96.2,45.3,0
80.5,96.7,46.0,0
80.2,96.6,50.8,0
83.1,96.7,49.8,0
79.7,97.1,55.2,0
81.2,96.0,49.6,0
82.7,96.8,52.3,0
78.8,96.2,48.1,0
76.6,96.8,53.8,0
76.3,96.3,42.2,0
80.0,96.7,54.3,0
82.0,97.1,48.1,0
80.9,96.5,51.6,0
77.9,97.3,53.3,0
80.5,96.8,49.3,0
74.3,97.0,46.8,0
79.9,97.2,46.9,0
77.7,96.8,47.6,0
80.2,96.9,52.5,0
77.8,97.0,53.7,0
76.5,97.0,44.4,0
79.2,96.4,46.4,0
83.6,96.2,41.4,0
77.3,97.7,45.0,0
79.9,96.6,42.5,0
79.4,98.1,54.2,0
78.2,97.2,43.1,0
76.3,97.3,53.1,0
81.9,96.6,46.4,0
81.3,97.0,45.3,0
76.6,96.9,52.6,0
77.4,97.1,48.9,0
81.3,97.2,43.8,0
100.9,98.1,52.8,0
100.4,97.6,47.1,0
98.4,99.0,50.7,0
98.3,97.9,42.8,0
102.3,97.4,50.4,0
101.4,97.9,48.4,0
99.3,97.7,45.0,0
98.4,98.5,47.3,0
97.8,97.5,53.4,0
100.7,98.0,46.6,0
100.5,97.4,46.6,0
101.3,98.2,42.9,0
97.7,97.8,56.5,0
95.6,97.9,41.0,0
98.1,97.5,45.7,0
98.4,97.7,45.2,0
96.5,98.1,51.6,0
101.1,97.0,49.3,0
100.8,97.2,47.9,0
99.2,98.7,57.4,0
96.2,99.0,43.2,0
101.5,98.2,42.8,0
100.5,97.7,50.6,0
100.0,98.3,48.2,0
99.2,98.3,50.7,0
101.0,97.4,42.5,0
98.4,97.4,51.7,0
101.5,97.7,54.9,0
102.3,97.9,43.6,0
102.7,97.7,48.4,0
98.9,97.3,40.4,0
100.9,97.4,63.0,0
97.5,97.1,50.3,0
102.7,97.8,50.6,0
96.0,97.4,42.4,0
95.9,97.8,36.5,0
97.0,97.5,43.6,0
100.5,97.9,52.2,0
101.2,98.4,47.7,0
100.3,98.0,48.4,0
98.9,97.6,43.6,0
100.6,97.7,44.4,0
98.4,97.2,52.6,0
99.9,97.4,51.7,0
98.7,97.1,52.8,0
98.7,97.6,47.9,0
102.1,97.8,41.7,0
100.9,97.6,57.1,0
99.8,96.7,49.4,0
103.7,98.6,56.8,0
97.8,98.3,44.0,0
100.3,97.2,44.4,0
98.5,98.3,51.6,0
100.4,97.1,46.1,0
98.4,98.3,53.5,0
102.0,97.4,33.9,0
96.4,98.5,45.6,0
98.4,98.7,53.9,0
100.0,97.7,46.9,0
100.4,98.6,49.7,0
101.4,98.4,41.7,0
101.5,97.7,35.0,0
95.7,97.3,50.2,0
100.2,97.9,57.3,0
97.5,97.8,49.1,0
98.6,97.9,39.6,0
102.9,97.5,57.7,0
100.0,98.4,47.3,0
100.0,97.6,48.1,0
100.7,97.5,46.9,0
98.9,99.0,47.1,0
103.2,97.8,48.8,0
97.5,97.6,48.6,0
103.3,98.0,54.4,0
101.4,98.7,47.2,0
104.9,97.6,43.7,0
97.8,99.0,51.6,0
99.5,98.5,50.9,0
104.1,97.1,46.2,0
99.3,96.9,52.8,0
99.7,98.3,59.3,0
99.5,97.7,48.1,0
102.2,97.6,44.3,0
102.4,98.1,37.2,0
97.8,98.6,49.5,0
98.8,97.8,47.5,0
101.8,97.2,43.2,0
100.9,97.9,50.3,0
97.9,98.1,52.9,0
101.3,98.0,46.9,0
98.7,97.9,53.7,0
100.1,97.5,44.9,0
100.8,97.7,49.8,0
101.4,98.4,54.5,0
102.4,97.5,42.9,0
100.3,97.7,41.7,0
99.5,97.7,44.0,0
